GENDER,AGEGRP1,AGEGRP2,NGROUP,ORGANICS,REGION,CLASS,ORGYN,AFFL,LTIME
U,60-80,70-80,C,0,Midlands,Gold,0,10,4
U,40-60,40-50,D,0,Midlands,Gold,0,4,5
F,60-80,60-70,D,1,Midlands,Silver,1,5,8
M,60-80,60-70,F,1,Midlands,Tin,1,10,7
F,60-80,60-70,A,0,Midlands,Tin,0,11,8
U,60-80,70-80,D,0,North,Platinum,0,9,3
F,60-80,70-80,A,0,Midlands,Tin,0,11,8
M,60-80,60-70,D,0,North,Tin,0,13,5
M,60-80,60-70,F,0,Midlands,Silver,0,10,3
F,40-60,40-50,F,1,Unknown,Gold,1,14,1
F,40-60,50-60,F,0,North,Gold,0,7,2
M,40-60,50-60,C,1,South East,Silver,1,5,1
F,40-60,50-60,F,0,Midlands,Silver,0,9,11
F,60-80,60-70,C,0,South East,Tin,0,6,9
F,20-40,30-40,C,2,South East,Tin,1,16,4
M,40-60,50-60,D,0,Midlands,Silver,0,8,1
F,60-80,60-70,B,0,Midlands,Gold,0,5,8
F,40-60,40-50,C,1,Midlands,Tin,1,8,5
F,20-40,30-40,E,1,Scottish,Tin,1,7,5
U,40-60,40-50,D,0,South East,Tin,0,7,7
F,60-80,60-70,F,0,Midlands,Silver,0,9,12
F,60-80,70-80,B,0,Midlands,Gold,0,9,2
U,60-80,60-70,E,0,Midlands,Gold,0,6,2
M,60-80,60-70,D,0,South East,Silver,0,7,5
F,40-60,40-50,D,0,South East,Tin,0,6,8
M,20-40,30-40,U,0,Midlands,Tin,0,10,5
M,60-80,70-80,B,0,Midlands,Silver,0,7,7
F,60-80,70-80,U,1,Midlands,Silver,1,8,23
M,40-60,40-50,F,1,North,Tin,1,7,5
F,60-80,60-70,C,0,Midlands,Gold,0,7,4
M,20-40,30-40,B,1,South West,Silver,1,8,9
F,40-60,40-50,F,0,South East,Tin,0,9,8
U,60-80,70-80,D,0,North,Gold,0,8,1
M,20-40,20-30,F,0,Midlands,Tin,0,8,4
F,40-60,40-50,D,0,Midlands,Gold,0,3,3
M,60-80,60-70,D,0,South East,Tin,0,8,11
F,20-40,30-40,C,1,Midlands,Silver,1,15,5
F,60-80,70-80,B,0,Midlands,Silver,0,10,5
F,40-60,40-50,F,0,North,Silver,0,7,1
M,40-60,40-50,B,0,North,Tin,0,8,5
F,60-80,60-70,B,1,South West,Gold,1,9,5
F,20-40,30-40,D,0,North,Tin,0,9,4
F,60-80,60-70,B,0,South East,Gold,0,8,15
F,60-80,70-80,E,0,North,Platinum,0,7,3
M,40-60,40-50,U,0,Midlands,Tin,0,12,9
F,20-40,30-40,F,1,North,Gold,1,9,1
F,40-60,50-60,C,0,North,Gold,0,8,7
F,40-60,40-50,D,0,South East,Silver,0,7,5
M,60-80,70-80,E,0,Midlands,Silver,0,8,6
F,60-80,60-70,D,1,Midlands,Silver,1,8,5
U,60-80,70-80,E,0,Midlands,Gold,0,15,12
F,20-40,30-40,E,1,Midlands,Silver,1,8,4
M,60-80,70-80,D,0,Midlands,Gold,0,6,19
F,60-80,60-70,B,1,Scottish,Gold,1,7,11
U,40-60,50-60,D,0,Midlands,Tin,0,6,5
M,40-60,50-60,C,1,North,Silver,1,8,11
F,40-60,40-50,F,1,South East,Tin,1,15,5
F,60-80,60-70,A,0,South East,Silver,0,13,4
F,40-60,50-60,E,0,Midlands,Silver,0,10,11
M,40-60,40-50,F,0,Midlands,Tin,0,6,4
F,60-80,70-80,B,1,Midlands,Silver,1,11,8
F,20-40,30-40,E,1,North,Tin,1,8,5
U,60-80,60-70,E,0,South West,Silver,0,13,8
F,60-80,60-70,B,0,Unknown,Silver,0,12,9
F,20-40,30-40,A,3,North,Tin,1,19,8
M,40-60,50-60,U,0,Midlands,Silver,0,7,1
M,40-60,50-60,B,0,Scottish,Gold,0,8,9
F,<20,10-20,C,0,South East,Gold,0,13,1
U,40-60,50-60,A,0,North,Silver,0,5,8
F,40-60,40-50,D,0,North,Gold,0,9,4
F,40-60,50-60,F,0,North,Silver,0,8,2
U,60-80,60-70,B,0,North,Platinum,0,11,8
F,60-80,70-80,E,0,Midlands,Silver,0,7,24
F,60-80,60-70,C,0,Midlands,Tin,0,5,5
U,40-60,40-50,B,0,South East,Silver,0,5,11
F,60-80,60-70,A,0,South East,Silver,0,11,5
U,40-60,50-60,C,0,North,Gold,0,2,5
F,60-80,70-80,C,0,Midlands,Gold,0,3,1
U,40-60,50-60,B,0,North,Silver,0,10,9
M,40-60,40-50,C,0,Midlands,Silver,0,9,2
F,40-60,50-60,C,0,South East,Silver,0,8,1
U,60-80,70-80,E,1,Midlands,Gold,1,10,8
F,60-80,60-70,E,0,South East,Tin,0,9,7
F,40-60,40-50,A,0,Scottish,Tin,0,8,5
F,20-40,30-40,E,1,South East,Silver,1,11,1
F,60-80,70-80,A,0,South East,Tin,0,12,8
M,60-80,60-70,E,0,South East,Gold,0,10,4
F,40-60,50-60,C,0,South East,Tin,0,9,8
M,60-80,60-70,D,0,North,Gold,0,6,3
M,40-60,50-60,F,0,North,Tin,0,11,9
F,40-60,50-60,D,0,Midlands,Tin,0,7,8
M,60-80,60-70,U,0,South East,Gold,0,14,6
M,40-60,40-50,B,1,South East,Tin,1,13,7
F,20-40,30-40,D,2,Midlands,Silver,1,16,3
F,20-40,30-40,D,1,North,Silver,1,6,7
F,20-40,30-40,F,1,South East,Tin,1,9,4
M,40-60,40-50,B,0,North,Silver,0,7,10
U,60-80,60-70,A,0,North,Silver,0,6,29
M,40-60,40-50,F,0,North,Tin,0,7,10
M,40-60,50-60,C,0,Midlands,Gold,0,9,5
F,40-60,40-50,B,0,North,Gold,0,8,4
M,40-60,50-60,F,0,Midlands,Silver,0,6,8
U,40-60,50-60,F,0,Midlands,Platinum,0,7,6
M,60-80,70-80,F,0,Scottish,Gold,0,6,17
U,40-60,50-60,E,0,Midlands,Gold,0,15,6
F,40-60,50-60,F,0,Unknown,Gold,0,5,1
F,40-60,50-60,C,1,North,Silver,1,8,6
F,60-80,70-80,A,0,Midlands,Gold,0,12,5
F,60-80,70-80,D,0,South East,Silver,0,9,5
U,40-60,40-50,D,0,North,Silver,0,6,4
U,40-60,50-60,E,0,South East,Tin,0,11,8
F,20-40,30-40,F,1,North,Silver,1,3,9
F,40-60,50-60,B,0,North,Silver,0,9,5
M,40-60,50-60,D,0,Midlands,Silver,0,4,4
F,40-60,40-50,F,0,North,Silver,0,3,9
F,40-60,40-50,F,0,North,Silver,0,9,4
U,20-40,30-40,F,0,Midlands,Silver,0,10,10
U,40-60,50-60,D,0,Midlands,Gold,0,5,8
U,60-80,70-80,C,0,Midlands,Gold,0,8,3
F,20-40,20-30,C,2,South East,Tin,1,11,7
F,40-60,50-60,E,0,North,Tin,0,4,8
U,40-60,50-60,A,0,South East,Silver,0,7,5
U,40-60,50-60,B,0,Midlands,Tin,0,7,5
M,40-60,40-50,D,0,North,Tin,0,7,4
F,20-40,30-40,F,1,Unknown,Silver,1,10,9
F,20-40,30-40,E,1,South East,Gold,1,6,1
F,40-60,50-60,D,0,South East,Tin,0,4,5
F,60-80,70-80,C,0,Midlands,Gold,0,10,8
F,20-40,30-40,C,1,Midlands,Tin,1,10,6
F,20-40,30-40,F,0,North,Tin,0,7,5
F,60-80,70-80,F,1,Midlands,Silver,1,9,8
F,40-60,40-50,D,0,North,Tin,0,6,5
F,40-60,50-60,C,0,South East,Gold,0,14,8
M,40-60,50-60,F,0,South East,Silver,0,8,9
U,60-80,60-70,B,0,South East,Silver,0,15,2
F,60-80,60-70,B,0,Scottish,Silver,0,12,1
M,40-60,40-50,U,0,Midlands,Tin,0,9,5
U,40-60,50-60,F,0,Midlands,Tin,0,8,8
U,20-40,30-40,E,0,Midlands,Silver,0,8,1
F,40-60,50-60,D,0,Midlands,Tin,0,5,9
F,40-60,50-60,F,0,North,Gold,0,8,8
F,40-60,40-50,C,0,South East,Gold,0,9,2
U,40-60,40-50,E,0,North,Tin,0,4,5
F,40-60,40-50,B,1,South East,Silver,1,8,7
M,40-60,50-60,B,0,South East,Silver,0,8,8
F,60-80,60-70,B,0,South East,Silver,0,10,8
F,40-60,40-50,D,1,South East,Tin,1,9,9
